PBP_ID,Inventory,Institution,institution_city,institution_country,library_localisation,country_certainty,country,region,city,library_dating,circa,century,min_date,max_date,scribe,script,mss_height,mss_width,combined_size,Ruzzier_group,justification_height,justification_width,volumes,v1_folios,v2_folios,v3_folios,columns,min_lines,max_lines,citation,digitisation,Downloadable,Link,IIIF manifest
14,CLM 23355,Bayerische Staatsbibliothek,Munich,Germany,France,Y,France,,,13,,13,1220,1230,,,,,0,,,,,,,,2,,,,Y,,https://daten.digitale-sammlungen.de/0011/bsb00113493/images/index.html?id=00113493&groesser=&fip=weayayztssdaseayaxsewqeayaxdsydeaya&no=20&seite=35,
15,CLM 28243,Bayerische Staatsbibliothek,Munich,Germany,France,Y,France,,,1st half 14,,14,,,,,,,0,,,,,,,,2,,,,Y,,https://daten.digitale-sammlungen.de/0010/bsb00105464/images/index.html?id=00105464&groesser=&fip=weayayztssdaseayaxsewqeayaxdsydeaya&no=3&seite=5,
16,CLM 4627,Bayerische Staatsbibliothek,Munich,Germany,France,Y,France,,,2nd half 13,,13,,,,,,,0,,,,,,,,1,,,,Y,,https://daten.digitale-sammlungen.de/0010/bsb00105947/images/index.html?id=00105947&groesser=&fip=weayayztssdaseayaxsewqeayaxdsydeaya&no=4&seite=21,
17,Beinecke 1100,"Beinecke Library, Yale",New Haven,United States of America,?,N,,,,13th c,,13,,,,,190,127,317,1,,,,406,,,,,,,Y,,https://brbl-dl.library.yale.edu/vufind/Search/Results?lookfor=%22Beinecke+MS+1100%22&type=CallNumber,
18,Beinecke 1141,"Beinecke Library, Yale",New Haven,United States of America,,,,,,1200,,13,,,,,259,166,425,2,,,,ff. iii + i + 293 + iii ; 259 x 166 .,,,,,,,Y,,https://brbl-dl.library.yale.edu/vufind/Search/Results?lookfor=%22Beinecke+MS+1141%22&type=CallNumber,
19,Beinecke 387,"Beinecke Library, Yale",New Haven,United States of America,,,,,,,,,,,,,285,185,470,2,198,112,,"ff. ii (paper) + i (contemporary parchment) + 420 (foliation of s. xv, 1-420, on verso, between rulings for running headings) + ii (paper)",,,,,,,Y,,https://brbl-dl.library.yale.edu/vufind/Search/Results?lookfor=%22Beinecke+MS+387%22&type=CallNumber,
20,Beinecke 433,"Beinecke Library, Yale",New Haven,United States of America,,,,,,,,,,,,,,,0,,,,,,,,,,,,P,,https://brbl-dl.library.yale.edu/vufind/Search/Results?lookfor=%22Beinecke+MS+433%22&type=CallNumber,
21,Beinecke 793,"Beinecke Library, Yale",New Haven,United States of America,,,,,,,,,,,,,145,95,240,1,,,,ff. 643: parchment,,,,,,,Y,,https://brbl-dl.library.yale.edu/vufind/Search/Results?lookfor=%22Beinecke+MS+793%22&type=CallNumber,
22,Beinecke 81,"Beinecke Library, Yale",New Haven,United States of America,,,,,,,,,,,,,185,118,303,1,122,78,,ff. i + 265 + i : parchment,,,,,,,Y,,https://brbl-dl.library.yale.edu/vufind/Search/Results?lookfor=%22Beinecke+MS+81%22&type=CallNumber,
23,Beinecke 82,"Beinecke Library, Yale",New Haven,United States of America,France?,N,France,,,1200-1250,,13,1200,1250,,,296,197,493,2,197,139,,ff. i + 164 + i : parchment,,,,,,,Y,,https://brbl-dl.library.yale.edu/vufind/Search/Results?lookfor=%22Beinecke+MS+82%22&type=CallNumber,
