PBP_ID,Inventory,Institution,institution_city,institution_country,library_localisation,country_certainty,country,region,city,library_dating,circa,century,min_date,max_date,scribe,script,workshop/illuminator,mss_height,mss_width,combined_size,Ruzzier_group,justification_height,justification_width,volumes,v1_folios,v2_folios,v3_folios,columns,min_lines,max_lines,citation,digitisation,Downloadable,Catalogue link,IIIF manifest,Comments,team_member,,,,,,,,,,,,,,,,,,
58,13,Bibliotheque mazarine,Paris,France,France du nord ?,Y,France,Nord?,Unknown,1270-1280 (vers 1270-1280),,13,1270,1280,,,,270,195,465,2,Unknown,Unknown,1,547,,,2,Unknown,Unknown,,P,,https://portail.biblissima.fr/fr/ark:/43093/mdata5324565695c660ca07d32a42df2cf333bef5485b,,,DJW,,,,,,,,,,,,,,,,,,
59,15,Bibliotheque mazarine,Paris,France,France du nord (Paris),Y,France,Ile-de-France,Paris,1245-1255 (13e s. (milieu)),,13,1245,1255,,,Leber Workshop and Maître de la Vie de saint Denis worshop,226,145,371,1,Unknown,Unknown,1,511,,,2,Unknown,Unknown,,P,,https://portail.biblissima.fr/fr/ark:/43093/mdata7fcd881d16df9de69c19d2177ba2952a63ef686b,,Enlumineur : Atelier de Leber Atelier du Maître de la Vie de saint Denis,DJW,,,,,,,,,,,,,,,,,,
60,20,Bibliotheque mazarine,Paris,France,France,Y,France,Unknown,Unknown,1245-1255 (13e s. (milieu)),,13,1245,1255,,,,220,149,369,1,Unknown,Unknown,1,474,,,2,Unknown,Unknown,,P,,https://portail.biblissima.fr/fr/ark:/43093/mdata5f7c18f14ed1259d636af13b8d6651cbadedfbe5,,,DJW,,,,,,,,,,,,,,,,,,
61,21,Bibliotheque mazarine,Paris,France,France du nord (Paris ?),Y,France,Ile-de-France,Paris?,1270-1280 (vers 1270-1280),,13,1270,1280,,,,200,130,330,1,Unknown,Unknown,1,616,,,2,Unknown,Unknown,,P,,https://portail.biblissima.fr/fr/ark:/43093/mdataa4ceae12216ecf7d345b4dc28007dc17c4a2124e,,,DJW,,,,,,,,,,,,,,,,,,
62,24,Bibliotheque mazarine,Paris,France,France du nord (Paris),Y,France,Ile-de-France,Paris,1230-1240 (vers 1230-1240),,13,1230,1240,,,,147,103,250,1,Unknown,Unknown,1,412,,,2,Unknown,Unknown,,P,,https://portail.biblissima.fr/fr/ark:/43093/mdataf28e0f19a01b12ff9628b6deb44d9315f9a7eb16,,,DJW,,,,,,,,,,,,,,,,,,
63,27,Bibliotheque mazarine,Paris,France,France du nord (Paris),Y,France,Ile-de-France,Paris,1290-1299 (13e s. (fin)),,13,1290,1300,,,,378,259,637,3,Unknown,Unknown,1,456,,,2,Unknown,Unknown,,P,,https://portail.biblissima.fr/fr/ark:/43093/mdata156f6e95cb21921445b112b9e5e37c12230ee1f9,,,DJW,,,,,,,,,,,,,,,,,,
64,39,Bibliotheque mazarine,Paris,France,France du nord (Paris),Y,France,Ile-de-France,Paris,1230-1250 (vers 1230-1250),,13,1230,1350,,,,527,359,886,3,Unknown,Unknown,1,318,,,2,Unknown,Unknown,,P,,https://portail.biblissima.fr/fr/ark:/43093/mdata80efd81efbaffb612eb44f049e6a4ca9569afa7a,,,DJW,,,,,,,,,,,,,,,,,,
65,40,Bibliotheque mazarine,Paris,France,France de l'est ? ,Y,France,East?,Unknown,1200-1224 (13e s. (debut ou premier quart)),,13,1201,1225,,,,447,296,743,3,Unknown,Unknown,1,273,,,2,Unknown,Unknown,,P,,https://portail.biblissima.fr/fr/ark:/43093/mdata15729af8e8c63eb263350b3dcdcc0f563ca58859,,,DJW,,,,,,,,,,,,,,,,,,
66,72,Bibliotheque mazarine,Paris,France,France du nord (Paris),Y,France,Ile-de-France,Paris,1230-1250 (vers 1230-1250),,13,1230,1350,,,Maître de la Vie de saint Denis worshop,451,292,743,3,Unknown,Unknown,1,268,,,Varia,Unknown,Unknown,,P,,https://portail.biblissima.fr/fr/ark:/43093/mdata57275708ab1a478dd1cd903b152d2374d941f9bb,,Enlumineur : Atelier du Maître de la Vie de saint Denis,DJW,,,,,,,,,,,,,,,,,,
67,135,Bibliotheque mazarine,Paris,France,France du nord (Paris),Y,France,Ile-de-France,Paris,1205-1215 (vers 1210),,13,ca. 1210,ca. 1210,,,,337,224,561,3,Unknown,Unknown,1,265,,,Varia,Unknown,Unknown,,P,,https://portail.biblissima.fr/fr/ark:/43093/mdatafb5b903919f002891a6e969dade556f19ff6bc4e,,Ancien possesseur: Paris. Abbaye Saint-Victor,DJW,,,,,,,,,,,,,,,,,,
68,5,Bibliotheque municipale,Boulogne-sur-Mer,France,Paris,Y,France,Ile-de-France,Paris,1220s,,13,1220,1230,,,,462,318,780,3,Unknown,Unknown,1,437,,,2,Unknown,Unknown,,P,,https://bvmm.irht.cnrs.fr/consult/consult.php?REPRODUCTION_ID=11885,,,DJW,,,,,,,,,,,,,,,,,,
69,1,Bibliotheque municipale,Arles,France,France du sud ?,Y,France,South?,Unknown,1250-1274,,13,1251,1275,,,,255,175,430,2,Unknown,Unknown,1,Unknown,,,2,Unknown,Unknown,,P,,https://bvmm.irht.cnrs.fr/consult/consult.php?reproductionId=7185,,,DJW,,,,,,,,,,,,,,,,,,
